station_id_x;count_rental_ids_x;count_rental_ids_y;total_touchpoints
778;2;2;4
779;137231;136954;274185
78;436100;434528;870628
780;225669;222674;448343
781;164718;161695;326413
782;42393;42168;84561
783;128371;130435;258806
784;200143;200081;400224
785;2828585;2971549;5800134
786;237707;226236;463943
787;207642;208298;415940
788;146705;144527;291232
789;1218545;1221145;2439690
790;110284;109070;219354
792;139188;138940;278128
793;36429;35419;71848
794;4664;4637;9301
795;156024;144943;300967
796;30703;31168;61871
797;37212;36640;73852
798;148244;144017;292261
799;39097;39281;78378
8;8044;7528;15572
80;120027;118372;238399
800;182068;179189;361257
801;123236;122944;246180
802;38531;40426;78957
803;53538;52710;106248
804;241992;237461;479453
805;2681;2478;5159
807;38170;37976;76146
808;11147;10687;21834
809;82179;80879;163058
81;325365;323799;649164
810;293755;283384;577139
811;62713;62037;124750
812;10945;10728;21673
813;15390;15242;30632
814;49508;49191;98699
815;224823;227917;452740
817;32358;32589;64947
818;123375;119962;243337
82;89472;90094;179566
83;479212;473189;952401
84;88085;89024;177109
85;453824;448363;902187
86;61852;61385;123237
87;367671;371357;739028
88;457941;457922;915863
89;234391;231803;466194
9;439229;439904;879133
90;21695;21327;43022
91;72238;70847;143085
92;86406;84008;170414
93;155556;154712;310268
94;291427;285738;577165
95;918535;924473;1843008
96;117376;115109;232485
97;267564;264356;531920
98;562243;561541;1123784
99;507725;509124;1016849
nan;53405340;53405340;106810680
